id,root,number,sense,salish,nicodemus,symbol,english,grammar,crossref,variant,cognate,editnote,userId,createdAt,updatedAt
"368","'c'q'?'","0","1","'c'+c'óq'?=ops'","'ts'ts'oq'ops'","''","'nit, young of lice.  (larvae of lice)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:54.771+00:00'","'2020-08-14T20:51:54.771+00:00'"
"369","'c'q'?'","0","2","'c'+c'óq'?+l'=ípe?'","'ts'ts'oq''lipe''","''","'red nit.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:54.775+00:00'","'2020-08-14T20:51:54.775+00:00'"
"370","'c'q'?n'","0","1","'c'uq'?n'","'ts'uq'un'","'?'","'pronounce.'","'stem vt.'","''","''","null","null","1","'2020-08-14T20:51:54.786+00:00'","'2020-08-14T20:51:54.786+00:00'"
"371","'c'q'?n'","0","2","'c'uq'?n+cút'","'ts'uq'wntsut'","''","'name (H/s pronounced h/h own...).'","'n.'","''","''","null","null","1","'2020-08-14T20:51:54.795+00:00'","'2020-08-14T20:51:54.795+00:00'"
"372","'c'q'?n'","0","3","'s+c'aq'?+c'úq'?n''","'sts'aq'wts'uq'w'n'","''","'catechism. (lit. that which is pronounced repeatedly (ref. to catechetic (al) instruction), n.)'","''","''","''","null","null","1","'2020-08-14T20:51:54.803+00:00'","'2020-08-14T20:51:54.803+00:00'"
"373","'c'q'?n'","0","4","'c'uq'?+c'uq'?ún'+m''","'ts'uq'wts'uq'u'n'm'","''","'chattered, read aloud, recited. (lit. H/s pronounced one thing after another)'","'vi.'","''","''","null","null","1","'2020-08-14T20:51:54.808+00:00'","'2020-08-14T20:51:54.808+00:00'"
"374","'c'q'?n'","0","5","'hn+c'oq'?+coq'?ún'+em'n''","'hnts'oq'wtsoq'u'ne'mn''","''","'classroom. (lit. a room for reading)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:54.821+00:00'","'2020-08-14T20:51:54.821+00:00'"
"375","'c'q'?n'","0","6","'i+c'uq'?+c'uq'?ún'+m'?'","'its'uq'wts'uq'u'n'msh'","''","'articulate, reading, reciting, school (going to...). (lit. He is uttering (speech sounds)'","'vi.'","''","''","null","null","1","'2020-08-14T20:51:54.825+00:00'","'2020-08-14T20:51:54.825+00:00'"
"376","'c'q'?n'","0","7","'c'uq'?ún?t?s'","'ts'uq'unts'","'?'","'designate, named (he...), pronounced (he...it).'","'vt.'","''","''","null","null","1","'2020-08-14T20:51:54.836+00:00'","'2020-08-14T20:51:54.836+00:00'"
"377","'c'q'?n'","0","8","'c'uq'?ún??it?s'","'ts'uq'unshits'","''","'bequeath. (lit. He gave or left something to him by will)'","'vt.'","''","''","null","null","1","'2020-08-14T20:51:54.854+00:00'","'2020-08-14T20:51:54.854+00:00'"
"378","'c'q'?n'","0","9","'s+mel'+c'uq?ún+m'","'sme'lts'uqunm'","'§'","'connotation. (lit. mentioning (or inferring) something with what is said)'","'n.'","''","''","null","null","1","'2020-08-14T20:51:54.862+00:00'","'2020-08-14T20:51:54.862+00:00'"
"379","'c'q'?n'","0","10","'s+nuk?+c'uq'?+c'uq?ún'+m''","'snukwts'uq'wts'uqu'n'm'","''","'classmate (lit. fellow reader).'","'n.'","''","''","null","null","1","'2020-08-14T20:51:54.873+00:00'","'2020-08-14T20:51:54.873+00:00'"
"380","'c'r'","1","1","'c'ar'","'ts'ar'","'?'","'cold (to the touch).'","'stem adj.'","''","':'","null","null","1","'2020-08-14T20:51:54.879+00:00'","'2020-08-14T20:51:54.879+00:00'"
"381","'c'r'","1","2","'c'ar+t'","'ts'art'","''","'bleak, cold (It is...).'","'n.'","''","''","null","null","1","'2020-08-14T20:51:54.891+00:00'","'2020-08-14T20:51:54.891+00:00'"
"382","'c'r'","1","3","'hn+c'ár+t'","'hnts'art'","''","'water (cold...).'","'n.'","''","''","null","null","1","'2020-08-14T20:51:54.903+00:00'","'2020-08-14T20:51:54.903+00:00'"
"383","'c'r'","1","4","'pin? c'ar+t'","'pinch ts'art'","'§'","'remains (It...cold or chilly).'","'vi.'","''","''","null","null","1","'2020-08-14T20:51:54.907+00:00'","'2020-08-14T20:51:54.907+00:00'"
"384","'c'r'","2","1","'s+c'ér=us'","'sts'erus'","'?'","'currants.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:54.919+00:00'","'2020-08-14T20:51:54.919+00:00'"
"385","'c'r'","3","1","'c'or'","'ts'or'","'?'","'salt, sour.'","'stem n., adj.'","''","':'","null","null","1","'2020-08-14T20:51:54.923+00:00'","'2020-08-14T20:51:54.923+00:00'"
"386","'c'r'","3","2","'u· c'ór'","'uuts'or'","''","'brackisk, salty, sour (it is...).'","'adj.'","''","':'","null","null","1","'2020-08-14T20:51:54.93+00:00'","'2020-08-14T20:51:54.93+00:00'"
"387","'c'r'","3","3","'c'ór+emn'","'ts'oremn'","''","'salt shaker.'","'n.'","''","''","null","null","1","'2020-08-14T20:51:54.948+00:00'","'2020-08-14T20:51:54.948+00:00'"
"388","'c'r'","3","4","'hn+c'ó?or'","'hnts'o'or'","''","'sour (it became...).'","'vi.'","''","''","null","null","1","'2020-08-14T20:51:54.963+00:00'","'2020-08-14T20:51:54.963+00:00'"
